 +++ us,t =   0.99998031520526931        40.720014756634264     
 +++ us,t =   0.99998049556184077        40.810016528300665     
 +++ us,t =   0.99998067462595319        40.900018283734340     
 +++ us,t =   0.99998085240690471        40.990020023051621     
 +++ us,t =   0.99998102891415563        41.000000000000000     
 +++ us,t =   0.99998104834625823        41.090001707430119     
 +++ us,t =   0.99998122345030294        41.180003413111280     
 +++ us,t =   0.99998139730113100        41.270005103032481     
 +++ us,t =   0.99998156990860332        41.360006777306523     
 +++ us,t =   0.99998174128272255        41.450008436045323     
 +++ us,t =   0.99998191143359394        41.540010079359881     
 +++ us,t =   0.99998208037141378        41.630011707360303     
 +++ us,t =   0.99998224810645930        41.720013320155779     
 +++ us,t =   0.99998241464907789        41.810014917854559     
 +++ us,t =   0.99998258000967777        41.900016500563972     
 +++ us,t =   0.99998274419871702        41.990018068390413     
 +++ us,t =   0.99998290722669481        42.000000000000000     
 +++ us,t =   0.99998292518026954        42.090001538375894     
 +++ us,t =   0.99998308693126048        42.180003075135907     
 +++ us,t =   0.99998324754347057        42.270004597337838     
 +++ us,t =   0.99998340702744459        42.360006105084182     
 +++ us,t =   0.99998356539375655        42.450007598476489     
 +++ us,t =   0.99998372265297730        42.540009077615359     
 +++ us,t =   0.99998387881566764        42.630010542600438     
 +++ us,t =   0.99998403389237056        42.720011993530420     
 +++ us,t =   0.99998418789360388        42.810013430503048     
 +++ us,t =   0.99998434082985499        42.900014853615126     
